CP,region,code,Local_athority,S Ref E,S Ref N,S Ref Latitude,S Ref Longitude,Road,Road.Name,RCat,CP.Location
942023,East of England,NULL,Peterborough,520299,300821,52.59188549,-0.225556466,U,NULL,UU,NULL
942024,East of England,NULL,Peterborough,519164,298942,52.57525136,-0.242978291,U,NULL,UU,NULL
942026,East of England,NULL,Peterborough,519748,300551,52.58958094,-0.233783779,U,NULL,UU,NULL
942028,East of England,NULL,Peterborough,520432,301300,52.59616011,-0.223420017,U,NULL,UU,NULL
942030,East of England,NULL,Peterborough,520617,296922,52.55678071,-0.222282257,U,NULL,UU,NULL
942032,East of England,NULL,Peterborough,517036,295804,52.54751564,-0.27547096,U,NULL,UU,NULL
942034,East of England,NULL,Peterborough,520030,300950,52.59310403,-0.229478703,U,NULL,UU,NULL
942036,East of England,NULL,Southend-on-Sea,586230,185608,51.53864782,0.683957626,C,NULL,CU,NULL
942038,East of England,NULL,Southend-on-Sea,592822,185366,51.53426304,0.778760602,C,NULL,CU,NULL
942040,East of England,NULL,Southend-on-Sea,591360,184757,51.52929066,0.757376829,U,NULL,UU,NULL
942042,East of England,NULL,Southend-on-Sea,583991,187456,51.55597975,0.652675337,U,NULL,UU,NULL
942044,East of England,NULL,Southend-on-Sea,586105,187784,51.55823281,0.683307459,U,NULL,UU,NULL
942045,East of England,NULL,Southend-on-Sea,588746,186209,51.54321057,0.720515527,U,NULL,UU,NULL
942046,East of England,NULL,Southend-on-Sea,587992,188467,51.56374183,0.71086114,U,NULL,UU,NULL
942048,East of England,NULL,Southend-on-Sea,586386,187710,51.55747548,0.687317103,U,NULL,UU,NULL
942050,East of England,NULL,Southend-on-Sea,585900,186280,51.54479212,0.679559444,U,NULL,UU,NULL
942052,East of England,NULL,Southend-on-Sea,586189,185834,51.54069116,0.683486571,U,NULL,UU,NULL
942054,East of England,NULL,Southend-on-Sea,587565,186571,51.54685524,0.703697571,U,NULL,UU,NULL
942056,East of England,NULL,Southend-on-Sea,582437,186988,51.55228052,0.630041842,U,NULL,UU,NULL
942058,East of England,NULL,Southend-on-Sea,589410,185045,51.53253419,0.729453623,U,NULL,UU,NULL
942060,East of England,NULL,Southend-on-Sea,586783,186015,51.54212071,0.692137985,U,NULL,UU,NULL
942062,East of England,NULL,Suffolk,630944,271170,52.29009695,1.384956244,B1117,NULL,BR,NULL
942064,East of England,NULL,Suffolk,628285,272790,52.3057464,1.347136404,B1117,NULL,BR,NULL
942066,East of England,NULL,Suffolk,608263,235213,51.9763399,1.030911422,B1070,NULL,BR,NULL
942067,East of England,NULL,Suffolk,584556,267693,52.27640101,0.70378234,B1106,NULL,BR,NULL
942068,East of England,NULL,Suffolk,638826,252246,52.11691343,1.486969758,B1084,NULL,BR,NULL
942070,East of England,NULL,Suffolk,633729,250475,52.10319568,1.411450887,B1084,NULL,BR,NULL
942072,East of England,NULL,Suffolk,616309,268064,52.26816727,1.168737381,B1077,NULL,BR,NULL
942074,East of England,NULL,Suffolk,636666,254988,52.14244842,1.457388595,B1078,NULL,BR,NULL
942076,East of England,NULL,Suffolk,645428,274650,52.31504939,1.599431483,B1125,NULL,BR,NULL
942078,East of England,NULL,Suffolk,647073,298064,52.52438211,1.640797463,B1074,NULL,BR,NULL
942080,East of England,NULL,Suffolk,563784,262324,52.23475021,0.397013612,B1061,NULL,BR,NULL
942082,East of England,NULL,Suffolk,600276,246334,52.0791287,0.921290606,B1115,NULL,BR,NULL
942084,East of England,NULL,Suffolk,597452,247822,52.0935032,0.880996547,B1115,NULL,BR,NULL
942086,East of England,NULL,Suffolk,649288,282816,52.38657575,1.661997351,B1127,NULL,BR,NULL
942088,East of England,NULL,Suffolk,583390,248648,52.10575635,0.676414809,B1065,NULL,BR,NULL
942089,East of England,NULL,Suffolk,602496,249463,52.10641593,0.955498807,B1078,NULL,BR,NULL
942090,East of England,NULL,Suffolk,628112,269913,52.27999736,1.342657204,B1116,NULL,BR,NULL
942092,East of England,NULL,Suffolk,617477,264042,52.23160388,1.183239141,B1077,NULL,BR,NULL
942094,East of England,NULL,Suffolk,633166,243194,52.03808798,1.398276047,B1083,NULL,BR,NULL
942096,East of England,NULL,Suffolk,653876,294167,52.48629897,1.737884336,B1074,NULL,BU,NULL
942098,East of England,NULL,Suffolk,602030,270939,52.29940666,0.961504035,C,NULL,CR,NULL
942100,East of England,NULL,Suffolk,589034,239333,52.02020755,0.753573473,C,NULL,CR,NULL
942102,East of England,NULL,Suffolk,637291,274098,52.31367018,1.479901541,C,NULL,CR,NULL
942104,East of England,NULL,Suffolk,644261,288107,52.43631213,1.592141267,C,NULL,CR,NULL
