year,CP,estimation_method,estimation_method_detailed,fd_pc,fd_2WMV,fd_Car,fd_Bus,fd_lgv,fd_HGVR2,fd_HGVR3,fd_HGVR4,fd_hgva3,fd_hgva5,fd_hgva6,fd_hgv,fd_all_mv
2016,73262,Estimated,Estimated using previous year's AADF on this link,83,129,13111,153,2750,334,152,392,97,248,357,1581,17724
2016,73263,Estimated,Estimated using previous year's AADF on this link,89,70,11705,96,2401,330,149,69,9,43,80,680,14952
2016,73264,Counted,Manual count,99,64,12345,43,1422,164,42,171,21,62,88,548,14422
2016,73265,Estimated,Estimated using previous year's AADF on this link,3,69,20088,34,2375,331,117,57,14,76,113,708,23274
2016,73266,Estimated,Estimated using previous year's AADF on this link,3,69,20088,34,2375,331,117,57,14,76,113,708,23274
2016,73267,Estimated,Estimated using previous year's AADF on this link,3,38,11544,97,1241,57,14,10,1,1,4,89,13009
2016,73268,Estimated,Estimated using previous year's AADF on this link,66,136,25378,102,3578,345,69,55,12,66,57,603,29797
2016,73269,Counted,Manual count,28.52,205,86645,288,15124,1805,388,438,337,1121,3479,7568,109830
2016,73270,Estimated,Estimated from nearby links,29,48,15455,50,2162,250,21,27,17,41,25,382,18098
2016,73271,Counted,Manual count,29,68,8776,33,1038,122,10,27,15,8,8,190,10105
2016,73273,Estimated,Estimated using previous year's AADF on this link,29,86,6996,24,1493,242,46,81,16,43,77,505,9104
2016,73274,Estimated,Estimated using previous year's AADF on this link,27.74,301,100796,339,24244,4252,394,571,581,4945,7773,18516,144195
2016,73275,Counted,Dependent on a neighbouring counted link,14.8,424,87784,305,17000,1995,528,558,473,3006,6478,13038,118553
2016,73276,Estimated,Estimated using previous year's AADF on this link,5,68,6520,41,1195,213,45,49,6,28,76,417,8241
2016,73277,Estimated,Estimated using previous year's AADF on this link,11,105,12272,30,2258,248,72,99,57,188,279,943,15609
2016,73278,Estimated,Estimated using previous year's AADF on this link,62,185,7984,24,1287,189,36,75,52,159,85,596,10076
2016,73279,Estimated,Estimated using previous year's AADF on this link,12.89,198,72550,258,15171,2863,228,390,267,1793,6802,12342,100518
2016,73280,Estimated,Estimated using previous year's AADF on this link,12.89,198,72550,258,15171,2863,228,390,267,1793,6802,12342,100518
2016,73281,Estimated,Estimated using previous year's AADF on this link,43,77,9825,24,1607,163,30,32,11,32,39,307,11840
2016,73282,Estimated,Estimated using previous year's AADF on this link,26.63,481,87657,395,17667,3453,348,539,297,1735,7669,14042,120243
2016,73283,Estimated,Estimated using previous year's AADF on this link,24.42,196,36584,156,5999,826,180,340,78,350,703,2478,45412
2016,73284,Counted,Dependent on a neighbouring counted link,26.03,164,31235,52,6403,778,184,276,142,805,1120,3303,41156
2016,73285,Estimated,Estimated using previous year's AADF on this link,7,53,5509,59,1063,191,93,59,46,97,152,637,7321
2016,73286,Estimated,Estimated using previous year's AADF on this link,5,56,6791,50,1683,234,79,74,29,267,293,977,9557
2016,73287,Counted,Dependent on a neighbouring counted link,12,128,6098,22,1225,186,88,85,59,268,297,983,8455
2016,73288,Estimated,Estimated using previous year's AADF on this link,206,192,16671,185,2870,119,34,9,7,6,5,180,20097
2016,73289,Estimated,Estimated using previous year's AADF on this link,192,104,9373,291,1993,127,19,11,3,6,6,172,11934
2016,73290,Estimated,Estimated using previous year's AADF on this link,104,40,5023,118,1294,50,10,1,1,2,1,66,6541
2016,73291,Estimated,Estimated using previous year's AADF on this link,258,81,8688,196,1591,87,20,4,3,12,14,140,10696
2016,73292,Estimated,Estimated using previous year's AADF on this link,149,57,8510,122,1691,99,16,4,3,3,2,128,10507
2016,73293,Estimated,Estimated using previous year's AADF on this link,103.75,842,59807,432,12221,1479,310,276,158,601,583,3407,76709
2016,73294,Estimated,Estimated using previous year's AADF on this link,640,302,15464,239,2159,133,33,19,13,17,9,223,18387
2016,73295,Estimated,Estimated using previous year's AADF on this link,90,177,19690,281,2481,137,34,11,7,4,8,200,22828
2016,73296,Counted,Dependent on a neighbouring counted link,25.36,569,92448,250,15883,2444,499,498,777,3468,3820,11506,120656
2016,73297,Counted,Dependent on a neighbouring counted link,2.96,127,18737,115,3212,575,124,82,183,1034,743,2742,24934
2016,73298,Estimated,Estimated using previous year's AADF on this link,30,238,5235,15,1607,408,86,300,133,525,477,1928,9023
2016,73299,Counted,Dependent on a neighbouring counted link,29.37,478,101968,441,15757,1759,464,708,723,3350,3161,10164,128808
2016,73300,Estimated,Estimated using previous year's AADF on this link,14,69,8771,114,2177,55,7,3,1,1,1,67,11197
2016,73301,Estimated,Estimated using previous year's AADF on this link,190,500,24885,524,4125,421,129,185,29,74,78,915,30949
2016,73303,Estimated,Estimated using previous year's AADF on this link,43,226,16548,288,2668,296,49,174,25,40,57,642,20372
2016,73304,Counted,Dependent on a neighbouring counted link,10037,3316,17708,1033,4041,466,69,115,25,32,25,732,26829
2016,73305,Estimated,Estimated using previous year's AADF on this link,1278,1154,10350,600,2143,397,37,15,10,7,7,472,14720
2016,73306,Estimated,Estimated using previous year's AADF on this link,4,44,2892,104,628,168,37,16,1,1,68,291,3960
2016,73307,Estimated,Estimated using previous year's AADF on this link,8,27,1677,21,379,48,19,7,4,1,9.28,78,2183
2016,73308,Estimated,Estimated using previous year's AADF on this link,33,100,29292,195,6910,668,188,143,161,686,532,2378,38874
2016,73309,Estimated,Estimated using previous year's AADF on this link,14,127,8963,57,1721,263,30,62,19,23,33,429,11297
2016,73310,Estimated,Estimated using previous year's AADF on this link,65,45,7110,171,1278,105,18,12,2,1,8.82,137,8741
2016,73311,Estimated,Estimated using previous year's AADF on this link,16,34,1701,20,523,43,3,5,3,10,10,73,2350
2016,73312,Estimated,Estimated using previous year's AADF on this link,34,51,1698,73,348,18,2,5,3.75,1,3.4,26,2195
2016,73313,Estimated,Estimated using previous year's AADF on this link,3,61,2257,23,532,88,14,18,5,13,7,146,3019
2016,73314,Estimated,Estimated using previous year's AADF on this link,64,275,35202,148,5494,901,144,254,138,318,913,2668,43787
2016,73315,Estimated,Estimated using previous year's AADF on this link,64,275,35202,148,5494,901,144,254,138,318,913,2668,43787
2016,73316,Estimated,Estimated using previous year's AADF on this link,5,273,42565,85,6751,1171,217,262,499,626,1546,4321,53995
